Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year
1991,Tracie Spencer,This House,3,1991-01-02
1991,C+C Music Factory,Things That Make You Go Hmmmm. . .,4,1991-07-17
1991,Celine Dion,Where Does My Heart Beat Now,4,1991-01-02
1991,D.J. Jazzy Jeff & The Fresh Prince,Summertime,4,1991-06-12
1991,Divinyls,I Touch Myself,4,1991-03-06
1991,Extreme,Hole Hearted,4,1991-07-31
1991,Jesus Jones,Real Real Real,4,1991-08-21
1991,Luther Vandross,Power Of Love/Love Power,4,1991-04-24
1991,Michael Bolton,Love Is A Wonderful Thing,4,1991-04-17
1991,R.E.M.,Losing My Religion,4,1991-04-03
1991,Ralph Tresvant,Sensitivity,4,1991-01-02
1991,Scorpions,Wind Of Change,4,1991-05-29
1991,Vanilla Ice,Play That Funky Music,4,1991-01-02
1991,Bonnie Raitt,Something To Talk About,5,1991-07-17
1991,DNA Featuring Suzanne Vega,Tom's Diner,5,1991-01-02
1991,Enigma,Sadeness Part 1,5,1991-02-06
1991,Firehouse,Love Of A Lifetime,5,1991-06-26
1991,Oleta Adams,Get Here,5,1991-01-02
1991,Rod Stewart,Rhythm Of My Heart,5,1991-03-13
1991,Sting,All This Time,5,1991-01-16
1991,The KLF,3 A.M. Eternal,5,1991-06-19
1991,Chris Isaak,Wicked Game,6,1991-01-02
1991,Corina,Temptation,6,1991-05-15
1991,Mariah Carey,Can't Let Go,6,1991-11-13
1991,Michael W. Smith,Place In This World,6,1991-05-01
1991,Naughty by Nature,O.P.P.,6,1991-09-04
1991,Nelson,After The Rain,6,1991-01-02
1991,Paula Abdul,Blowing Kisses In The Wind,6,1991-10-16
1991,Roberta Flack With Maxi Priest,Set The Night To Music,6,1991-09-18
1991,Wilson Phillips,Impulsive,6,1991-01-02
1991,Amy Grant,That's What Love Is For,7,1991-09-25
1991,Gerardo,Rico Suave,7,1991-01-30
1991,Keith Sweat,I'll Give All My Love To You,7,1991-01-02
1991,Michael Bolton,"""Time, Love And Tenderness""",7,1991-07-10
1991,Rick Astley,Cry For Help,7,1991-02-13
1991,Seal,Crazy,7,1991-06-19
1991,Tara Kemp,Piece Of My Heart,7,1991-05-08
1991,UB40,Here I Am (Come And Take Me),7,1991-03-20
1991,Will to Power,I'm Not In Love,7,1991-01-02
1991,Aaron Neville,Everybody Plays The Fool,8,1991-07-17
1991,Black Box,Strike It Up,8,1991-04-03
1991,Cathy Dennis,Too Many Walls,8,1991-07-03
1991,CeCe Peniston,Finally,8,1991-09-25
1991,Crystal Waters,Gypsy Woman (She's Homeless),8,1991-05-01
1991,Hi-Five,I Can't Wait Another Minute,8,1991-06-19
1991,INXS,Disappear,8,1991-01-02
1991,Tesla,Signs,8,1991-01-02
1991,The Escape Club,I'll Be There,8,1991-05-22
1991,Another Bad Creation,Iesha,9,1991-01-09
1991,Cathy Dennis,Just Another Dream,9,1991-01-02
1991,Curtis Stigers,I Wonder Why,9,1991-09-04
1991,LL Cool J,Around The Way Girl,9,1991-01-02
1991,Luther Vandross,Don't Want To Be A Fool,9,1991-07-31
1991,M.C. Hammer,2 Legit 2 Quit,9,1991-11-06
1991,Madonna,Rescue Me,9,1991-02-27
1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",1,1992-07-15
1992,Color Me Badd,All 4 Love,1,1992-01-01
1992,George Michael/Elton John,Don't Let The Sun Go Down On Me,1,1992-01-01
1992,Kris Kross,Jump,1,1992-04-01
1992,Madonna,This Used To Be My Playground,1,1992-07-01
1992,Mariah Carey,I'll Be There,1,1992-05-27
1992,Michael Jackson,Black Or White,1,1992-01-01
1992,Mr. Big,To Be With You,1,1992-01-01
1992,Right Said Fred,I'm Too Sexy,1,1992-01-01
1992,Sir Mix-A-Lot,Baby Got Back,1,1992-04-08
1992,The Heights,How Do You Talk To An Angel,1,1992-09-30
1992,Vanessa Williams,Save The Best For Last,1,1992-01-29
1992,Whitney Houston,I Will Always Love You,1,1992-11-11
1992,Boyz II Men,It's So Hard To Say Goodbye To Yesterday,2,1992-01-01
1992,En Vogue,My Lovin' (You're Never Gonna Get It),2,1992-03-18
1992,Eric Clapton,Tears In Heaven,2,1992-02-05
1992,Mariah Carey,Can't Let Go,2,1992-01-01
1992,Patty Smyth,Sometimes Love Just Ain't Enough,2,1992-08-12
1992,Queen,Bohemian Rhapsody,2,1992-03-18
1992,Red Hot Chili Peppers,Under The Bridge,2,1992-04-01
1992,Shai,If I Ever Fall In Love,2,1992-10-14
1992,Shanice,I Love Your Smile,2,1992-01-01
